id_cliente,tipo_contacto,mes,dia_semana,contactos_campana,dias_desde_contacto_previo,contactos_previos,resultado_previo,variacion_empleo,indice_precios,confianza_consumidor,euribor_3m,numero_empleados,acepta_deposito,edad,ocupacion,estado_civil,educacion,incumplimiento_credito,credito_vivienda,prestamo_personal
CLI000001,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,No,43,admin.,divorced,university.degree,No,No,Sí
CLI000002,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No,38,admin.,divorced,basic.9y,No,No,No
CLI000003,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No,44,blue-collar,married,basic.4y,No,Sí,No
CLI000004,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,No,49,admin.,divorced,professional.course,No,Sí,Sí
CLI000005,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No,35,blue-collar,married,basic.9y,Desconocido,No,No
CLI000006,cellular,may,mon,5,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,No,46,technician,married,high.school,No,No,No
CLI000007,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,No,38,admin.,married,high.school,No,No,No
CLI000008,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,No,47,technician,married,professional.course,No,No,No
CLI000009,telephone,may,fri,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No,28,Desconocido,single,basic.9y,Desconocido,Sí,No
CLI000010,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No,32,blue-collar,divorced,basic.6y,Desconocido,Sí,No
CLI000011,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,30,admin.,married,high.school,No,Sí,No
CLI000012,cellular,may,fri,9,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,No,26,blue-collar,single,basic.9y,No,Sí,Sí
CLI000013,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,45,technician,married,professional.course,No,Sí,No
CLI000014,telephone,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,No,28,services,single,high.school,No,No,No
CLI000015,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,No,42,retired,married,basic.9y,Desconocido,No,No
CLI000016,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,25,services,married,high.school,No,No,No
CLI000017,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,No,50,management,married,university.degree,No,Sí,No
CLI000018,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,No,41,blue-collar,married,basic.6y,No,Desconocido,Desconocido
CLI000019,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,No,29,management,married,basic.9y,No,Sí,No
CLI000020,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No,48,blue-collar,married,basic.4y,Desconocido,Sí,Sí
CLI000021,telephone,jun,tue,3,2,2,success,-1.7,94.055,-39.8,0.723,4991.6,No,37,unemployed,married,university.degree,No,Sí,No
CLI000022,cellular,aug,tue,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,No,50,blue-collar,married,Desconocido,No,Sí,No
CLI000023,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No,57,technician,married,professional.course,No,Sí,No
CLI000024,cellular,jul,thu,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No,49,management,divorced,university.degree,No,No,No
CLI000025,telephone,may,wed,2,4,2,success,-1.8,93.876,-40.0,0.697,5008.7,Sí,70,retired,divorced,high.school,No,Sí,No
CLI000026,cellular,aug,tue,1,999,0,nonexistent,-2.9,92.201,-31.4,0.884,5076.2,No,36,admin.,single,high.school,No,Sí,No
CLI000027,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,No,25,entrepreneur,single,basic.9y,No,Sí,No
CLI000028,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,No,35,technician,married,university.degree,No,Sí,Sí
CLI000029,cellular,nov,fri,2,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,Sí,55,blue-collar,married,basic.4y,No,No,No
CLI000030,cellular,apr,thu,6,999,0,nonexistent,-1.8,93.749,-34.6,0.64,5008.7,No,53,management,divorced,university.degree,No,Sí,Sí
CLI000031,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,Sí,33,technician,married,professional.course,No,Desconocido,Desconocido
CLI000032,telephone,jul,thu,10,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,No,41,housemaid,married,basic.4y,Desconocido,Sí,No
CLI000033,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,No,34,admin.,married,university.degree,No,No,No
CLI000034,telephone,may,tue,9,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No,30,management,married,basic.9y,No,Sí,No
CLI000035,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,43,housemaid,married,basic.4y,No,No,Sí
CLI000036,cellular,nov,thu,2,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,No,55,entrepreneur,married,professional.course,No,Sí,No
CLI000037,cellular,jun,mon,1,999,1,failure,-2.9,92.963,-40.8,1.266,5076.2,No,25,technician,married,university.degree,No,No,No
CLI000038,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No,32,technician,single,professional.course,No,Sí,No
CLI000039,cellular,aug,fri,2,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,Sí,28,unemployed,married,professional.course,No,No,No
CLI000040,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No,46,blue-collar,married,basic.9y,No,Sí,No
CLI000041,cellular,oct,mon,1,999,0,nonexistent,-3.4,92.431,-26.9,0.743,5017.5,No,29,unemployed,divorced,high.school,No,No,No
CLI000042,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,No,40,admin.,married,university.degree,Desconocido,Sí,
CLI000043,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,No,48,services,married,basic.4y,Desconocido,No,Sí
CLI000044,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,No,53,admin.,single,high.school,No,Sí,No
CLI000045,cellular,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,No,23,admin.,single,high.school,No,No,No
CLI000046,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No,24,admin.,married,university.degree,No,Sí,No
CLI000047,cellular,may,mon,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,No,46,admin.,single,university.degree,No,No,Sí
CLI000048,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,No,50,unemployed,married,high.school,No,No,No
CLI000049,telephone,may,tue,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,No,33,blue-collar,married,basic.9y,No,Sí,No
CLI000050,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No,50,blue-collar,married,basic.6y,Desconocido,No,No
CLI000051,cellular,nov,fri,4,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No,46,technician,married,professional.course,No,Sí,Sí
CLI000052,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,No,59,retired,married,basic.9y,Desconocido,,No
