id_cliente,tipo_contacto,mes,dia_semana,contactos_campana,dias_desde_contacto_previo,contactos_previos,resultado_previo,variacion_empleo,indice_precios,confianza_consumidor,euribor_3m,numero_empleados,acepta_deposito
CLI000001,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,No
CLI000002,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No
CLI000003,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No
CLI000004,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,No
CLI000005,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No
CLI000006,cellular,may,mon,5,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,No
CLI000007,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,No
CLI000008,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,No
CLI000009,telephone,may,fri,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000010,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No
CLI000011,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000012,cellular,may,fri,9,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,No
CLI000013,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000014,telephone,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,No
CLI000015,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,No
CLI000016,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000017,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,No
CLI000018,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,No
CLI000019,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,No
CLI000020,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No
CLI000021,telephone,jun,tue,3,2,2,success,-1.7,94.055,-39.8,0.723,4991.6,No
CLI000022,cellular,aug,tue,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,No
CLI000023,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No
CLI000024,cellular,jul,thu,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No
CLI000025,telephone,may,wed,2,4,2,success,-1.8,93.876,-40.0,0.697,5008.7,Sí
CLI000026,cellular,aug,tue,1,999,0,nonexistent,-2.9,92.201,-31.4,0.884,5076.2,No
CLI000027,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,No
CLI000028,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,No
CLI000029,cellular,nov,fri,2,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,Sí
CLI000030,cellular,apr,thu,6,999,0,nonexistent,-1.8,93.749,-34.6,0.64,5008.7,No
CLI000031,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,Sí
CLI000032,telephone,jul,thu,10,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,No
CLI000033,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,No
CLI000034,telephone,may,tue,9,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000035,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000036,cellular,nov,thu,2,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,No
CLI000037,cellular,jun,mon,1,999,1,failure,-2.9,92.963,-40.8,1.266,5076.2,No
CLI000038,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No
CLI000039,cellular,aug,fri,2,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,Sí
CLI000040,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No
CLI000041,cellular,oct,mon,1,999,0,nonexistent,-3.4,92.431,-26.9,0.743,5017.5,No
CLI000042,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,No
CLI000043,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,No
CLI000044,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,No
CLI000045,cellular,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,No
CLI000046,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No
CLI000047,cellular,may,mon,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,No
CLI000048,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,No
CLI000049,telephone,may,tue,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,No
CLI000050,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No
CLI000051,cellular,nov,fri,4,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No
CLI000052,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,No
CLI000053,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000054,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,No
CLI000055,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,No
CLI000056,cellular,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,No
CLI000057,telephone,may,wed,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No
CLI000058,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,No
CLI000059,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No
CLI000060,cellular,sep,wed,3,999,0,nonexistent,-3.4,92.379,-29.8,0.813,5017.5,Sí
CLI000061,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,No
CLI000062,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,No
CLI000063,cellular,jul,thu,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,Sí
CLI000064,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000065,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,No
CLI000066,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,No
CLI000067,telephone,may,thu,5,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No
CLI000068,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000069,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,No
CLI000070,cellular,sep,thu,2,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,No
CLI000071,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,No
CLI000072,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,Sí
CLI000073,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,No
CLI000074,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No
CLI000075,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No
CLI000076,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,No
