id_cliente,edad,ocupacion,estado_civil,educacion,incumplimiento_credito,credito_vivienda,prestamo_personal
CLI000001,43,admin.,divorced,university.degree,No,No,Sí
CLI000002,38,admin.,divorced,basic.9y,No,No,No
CLI000003,44,blue-collar,married,basic.4y,No,Sí,No
CLI000004,49,admin.,divorced,professional.course,No,Sí,Sí
CLI000005,35,blue-collar,married,basic.9y,Desconocido,No,No
CLI000006,46,technician,married,high.school,No,No,No
CLI000007,38,admin.,married,high.school,No,No,No
CLI000008,47,technician,married,professional.course,No,No,No
CLI000009,28,Desconocido,single,basic.9y,Desconocido,Sí,No
CLI000010,32,blue-collar,divorced,basic.6y,Desconocido,Sí,No
CLI000011,30,admin.,married,high.school,No,Sí,No
CLI000012,26,blue-collar,single,basic.9y,No,Sí,Sí
CLI000013,45,technician,married,professional.course,No,Sí,No
CLI000014,28,services,single,high.school,No,No,No
CLI000015,42,retired,married,basic.9y,Desconocido,No,No
CLI000016,25,services,married,high.school,No,No,No
CLI000017,50,management,married,university.degree,No,Sí,No
CLI000018,41,blue-collar,married,basic.6y,No,Desconocido,Desconocido
CLI000019,29,management,married,basic.9y,No,Sí,No
CLI000020,48,blue-collar,married,basic.4y,Desconocido,Sí,Sí
CLI000021,37,unemployed,married,university.degree,No,Sí,No
CLI000022,50,blue-collar,married,Desconocido,No,Sí,No
CLI000023,57,technician,married,professional.course,No,Sí,No
CLI000024,49,management,divorced,university.degree,No,No,No
CLI000025,70,retired,divorced,high.school,No,Sí,No
CLI000026,36,admin.,single,high.school,No,Sí,No
CLI000027,25,entrepreneur,single,basic.9y,No,Sí,No
CLI000028,35,technician,married,university.degree,No,Sí,Sí
CLI000029,55,blue-collar,married,basic.4y,No,No,No
CLI000030,53,management,divorced,university.degree,No,Sí,Sí
CLI000031,33,technician,married,professional.course,No,Desconocido,Desconocido
CLI000032,41,housemaid,married,basic.4y,Desconocido,Sí,No
CLI000033,34,admin.,married,university.degree,No,No,No
CLI000034,30,management,married,basic.9y,No,Sí,No
CLI000035,43,housemaid,married,basic.4y,No,No,Sí
CLI000036,55,entrepreneur,married,professional.course,No,Sí,No
CLI000037,25,technician,married,university.degree,No,No,No
CLI000038,32,technician,single,professional.course,No,Sí,No
CLI000039,28,unemployed,married,professional.course,No,No,No
CLI000040,46,blue-collar,married,basic.9y,No,Sí,No
CLI000041,29,unemployed,divorced,high.school,No,No,No
CLI000042,40,admin.,married,university.degree,Desconocido,Sí,
CLI000043,48,services,married,basic.4y,Desconocido,No,Sí
CLI000044,53,admin.,single,high.school,No,Sí,No
CLI000045,23,admin.,single,high.school,No,No,No
CLI000046,24,admin.,married,university.degree,No,Sí,No
CLI000047,46,admin.,single,university.degree,No,No,Sí
CLI000048,50,unemployed,married,high.school,No,No,No
CLI000049,33,blue-collar,married,basic.9y,No,Sí,No
CLI000050,50,blue-collar,married,basic.6y,Desconocido,No,No
CLI000051,46,technician,married,professional.course,No,Sí,Sí
CLI000052,59,retired,married,basic.9y,Desconocido,,No
CLI000053,34,blue-collar,married,basic.9y,No,Sí,No
CLI000054,51,admin.,married,high.school,No,No,No
CLI000055,44,admin.,married,high.school,No,No,No
CLI000056,36,admin.,single,high.school,No,Sí,No
CLI000057,37,technician,divorced,high.school,No,,No
CLI000058,38,admin.,single,high.school,No,Sí,No
CLI000059,54,blue-collar,married,basic.4y,Desconocido,Sí,No
CLI000060,34,technician,married,professional.course,No,Sí,Sí
CLI000061,28,admin.,single,university.degree,No,No,No
CLI000062,33,admin.,single,university.degree,No,Sí,Sí
CLI000063,59,blue-collar,divorced,basic.4y,No,Sí,No
CLI000064,28,student,single,university.degree,Desconocido,Sí,No
CLI000065,59,Desconocido,married,Desconocido,No,Sí,No
CLI000066,42,blue-collar,married,Desconocido,Desconocido,Sí,Sí
CLI000067,39,blue-collar,married,basic.4y,Desconocido,No,Sí
CLI000068,43,technician,single,professional.course,No,No,No
CLI000069,35,admin.,single,university.degree,No,Sí,No
CLI000070,38,admin.,married,university.degree,No,No,No
CLI000071,25,blue-collar,single,basic.9y,No,Sí,No
CLI000072,29,blue-collar,single,high.school,No,Sí,No
CLI000073,28,self-employed,single,basic.9y,No,No,No
CLI000074,54,admin.,married,university.degree,Desconocido,No,Sí
CLI000075,37,technician,single,university.degree,No,No,No
CLI000076,23,services,single,high.school,No,No,No
CLI000077,39,admin.,married,university.degree,No,No,No
CLI000078,32,blue-collar,married,,No,Sí,No
CLI000079,43,services,married,high.school,Desconocido,No,No
CLI000080,45,services,married,high.school,Desconocido,No,No
CLI000081,34,services,married,high.school,No,No,No
CLI000082,35,services,married,basic.9y,No,No,No
CLI000083,25,blue-collar,single,high.school,No,No,No
CLI000084,36,blue-collar,married,basic.9y,No,No,No
CLI000085,30,services,single,basic.9y,No,Sí,No
CLI000086,41,blue-collar,married,basic.9y,No,Sí,No
CLI000087,38,admin.,married,basic.6y,No,No,No
CLI000088,51,blue-collar,married,basic.4y,Desconocido,Sí,No
CLI000089,20,student,single,high.school,No,No,No
CLI000090,26,admin.,married,university.degree,No,Sí,No
CLI000091,33,admin.,single,university.degree,No,No,No
CLI000092,59,technician,married,professional.course,No,Sí,No
CLI000093,22,technician,single,Desconocido,No,No,No
CLI000094,34,unemployed,married,high.school,No,No,No
CLI000095,45,blue-collar,married,basic.6y,Desconocido,Sí,No
CLI000096,51,housemaid,married,Desconocido,No,No,No
CLI000097,36,blue-collar,married,basic.6y,No,Sí,No
CLI000098,48,admin.,married,basic.9y,No,No,No
CLI000099,30,services,single,high.school,No,No,No
CLI000100,35,entrepreneur,married,university.degree,No,Sí,Sí
CLI000101,52,entrepreneur,single,university.degree,Desconocido,Sí,No
CLI000102,52,admin.,divorced,university.degree,Desconocido,Sí,Sí
CLI000103,40,entrepreneur,married,basic.9y,No,Sí,No
CLI000104,26,services,single,university.degree,No,Sí,No
CLI000105,35,technician,married,university.degree,No,No,No
CLI000106,42,admin.,married,high.school,No,No,No
CLI000107,40,blue-collar,married,basic.4y,Desconocido,Desconocido,Desconocido
CLI000108,50,services,divorced,basic.4y,Desconocido,Sí,Sí
CLI000109,56,management,married,basic.9y,No,Sí,Sí
CLI000110,25,admin.,married,high.school,No,No,No
CLI000111,48,technician,married,university.degree,No,,No
CLI000112,25,student,single,high.school,No,Sí,No
CLI000113,41,technician,divorced,basic.4y,No,Sí,No
CLI000114,52,services,divorced,high.school,Desconocido,Sí,Sí
CLI000115,39,blue-collar,married,basic.6y,Desconocido,Sí,No
CLI000116,37,admin.,single,high.school,No,Sí,No
CLI000117,53,self-employed,married,professional.course,No,Sí,No
CLI000118,33,self-employed,single,university.degree,No,No,No
CLI000119,50,admin.,married,high.school,No,Sí,No
CLI000120,28,blue-collar,single,basic.9y,Desconocido,No,No
CLI000121,32,technician,married,professional.course,No,Sí,No
CLI000122,27,technician,single,high.school,Desconocido,No,Sí
CLI000123,54,blue-collar,married,basic.9y,No,No,No
CLI000124,56,retired,married,basic.9y,Desconocido,Sí,No
CLI000125,51,admin.,divorced,university.degree,Desconocido,No,No
CLI000126,34,admin.,single,high.school,No,Desconocido,Desconocido
CLI000127,42,self-employed,divorced,university.degree,Desconocido,Sí,No
CLI000128,57,self-employed,married,university.degree,Desconocido,Sí,No
CLI000129,30,technician,single,professional.course,No,No,No
CLI000130,45,admin.,divorced,high.school,No,No,Sí
CLI000131,51,blue-collar,married,basic.9y,No,No,No
CLI000132,29,admin.,single,university.degree,No,No,No
CLI000133,27,blue-collar,married,basic.9y,No,Sí,No
CLI000134,53,entrepreneur,divorced,university.degree,No,Sí,No
CLI000135,34,admin.,single,high.school,No,No,Sí
CLI000136,39,management,married,university.degree,No,Sí,No
CLI000137,32,management,married,university.degree,No,Sí,No
CLI000138,30,admin.,married,university.degree,No,No,No
CLI000139,37,entrepreneur,married,basic.9y,No,Sí,No
CLI000140,33,management,married,basic.9y,Desconocido,No,No
CLI000141,40,admin.,divorced,university.degree,No,No,No
CLI000142,35,services,married,basic.6y,No,Sí,No
CLI000143,42,admin.,single,,No,No,No
CLI000144,36,blue-collar,married,basic.6y,No,No,No
CLI000145,42,retired,married,basic.4y,No,No,No
CLI000146,29,technician,single,university.degree,No,Sí,No
CLI000147,45,services,married,basic.6y,No,Sí,No
CLI000148,22,unemployed,single,high.school,No,No,No
CLI000149,33,admin.,single,high.school,No,No,No
CLI000150,30,admin.,single,university.degree,No,No,No
CLI000151,50,self-employed,married,professional.course,No,Sí,No
CLI000152,29,blue-collar,single,basic.9y,No,,No
CLI000153,45,management,married,basic.9y,No,Sí,No
CLI000154,28,services,single,high.school,No,No,Sí
CLI000155,44,technician,divorced,professional.course,No,No,No
CLI000156,51,blue-collar,divorced,Desconocido,Desconocido,No,No
CLI000157,39,admin.,married,university.degree,No,No,No
CLI000158,55,retired,married,basic.4y,Desconocido,No,No
CLI000159,41,blue-collar,married,basic.9y,No,No,No
CLI000160,40,blue-collar,married,basic.9y,No,No,Sí
CLI000161,37,admin.,married,university.degree,No,Sí,Sí
CLI000162,54,blue-collar,divorced,basic.4y,No,No,No
CLI000163,25,blue-collar,single,professional.course,No,Sí,No
CLI000164,40,admin.,married,university.degree,No,Sí,No
CLI000165,39,blue-collar,divorced,high.school,No,Sí,Sí
CLI000166,44,services,married,high.school,No,No,No
CLI000167,39,technician,single,professional.course,No,No,No
CLI000168,34,admin.,married,basic.9y,No,Desconocido,Desconocido
CLI000169,36,technician,divorced,professional.course,No,Sí,No
CLI000170,48,management,single,university.degree,No,Sí,
CLI000171,38,services,married,high.school,No,No,No
CLI000172,48,admin.,married,high.school,No,No,No
CLI000173,51,blue-collar,married,basic.4y,No,Desconocido,Desconocido
CLI000174,48,services,divorced,high.school,Desconocido,Sí,Sí
CLI000175,33,self-employed,single,basic.4y,No,,No
CLI000176,31,blue-collar,married,professional.course,Desconocido,Sí,No
CLI000177,36,admin.,single,high.school,No,Sí,No
CLI000178,55,admin.,married,basic.9y,Desconocido,,Sí
CLI000179,29,technician,single,high.school,No,Sí,No
CLI000180,35,blue-collar,married,basic.6y,No,Sí,No
CLI000181,47,technician,divorced,high.school,No,Sí,No
CLI000182,41,services,married,professional.course,No,No,Sí
CLI000183,30,entrepreneur,single,university.degree,No,Sí,No
CLI000184,32,housemaid,single,basic.4y,No,No,No
CLI000185,39,management,married,university.degree,No,Sí,No
CLI000186,31,admin.,single,high.school,No,Sí,No
CLI000187,44,blue-collar,married,professional.course,No,Sí,Sí
CLI000188,26,student,single,high.school,No,No,No
CLI000189,36,entrepreneur,divorced,university.degree,No,Sí,No
CLI000190,32,blue-collar,single,basic.6y,No,Sí,No
CLI000191,46,admin.,married,high.school,No,No,No
