Variable,Importancia
numero_empleados,0.6511015135041265
resultado_previo,0.1449475334726521
confianza_consumidor,0.07079175514290562
euribor_3m,0.048099017638717594
tipo_contacto,0.04484750020395545
dia_semana,0.023881656561603407
indice_precios,0.008220018223302223
estado_civil,0.003466652472195733
contactos_campana,0.0033177560465826594
dias_desde_contacto_previo,0.0013265967339587074
contactos_previos,0.0
mes,0.0
edad,0.0
variacion_empleo,0.0
ocupacion,0.0
educacion,0.0
incumplimiento_credito,0.0
credito_vivienda,0.0
prestamo_personal,0.0
